Arrays,Heaps,Graphs,DynamicProgramming,Probability_of_Placement
0,6,25,12,0
0,12,18,16,0
18,20,12,25,1
29,9,11,20,1
1,25,4,27,0
20,6,5,29,1
11,13,25,25,1
25,25,21,13,1
5,4,3,1,0
22,2,18,27,1
3,22,19,21,1
22,28,0,10,1
10,10,19,0,0
23,10,16,18,1
26,17,11,20,1
16,14,14,3,0
5,11,0,18,0
23,8,25,25,1
4,9,13,28,0
19,25,5,20,1
1,11,4,10,0
5,16,29,7,0
21,28,10,10,1
10,5,3,3,0
15,6,12,16,0
15,13,10,26,1
0,12,2,6,0
8,7,0,7,0
27,9,5,2,0
26,8,17,21,1
5,17,23,1,0
15,26,9,22,1
28,25,4,14,1
2,1,22,23,0
19,4,9,21,0
27,28,11,21,1
26,4,1,4,0
3,5,12,23,0
18,18,7,0,0
25,7,1,25,0
2,15,19,3,0
18,12,0,14,0
19,0,4,19,0
6,21,8,18,0
19,19,16,2,0
8,16,8,19,0
0,6,10,10,0
7,24,14,16,1
6,12,23,29,1
17,3,5,26,0
7,3,22,12,0
0,5,2,10,0
10,27,29,1,1
27,18,16,8,1
24,28,4,25,1
24,11,29,1,1
17,21,27,20,1
22,6,11,8,0
29,26,17,8,1
9,9,13,7,0
2,25,20,16,1
6,18,23,0,0
27,6,10,24,1
15,29,8,28,1
25,2,1,10,0
15,12,11,7,0
24,12,2,9,0
19,17,2,24,1
27,27,0,6,1
16,29,7,2,0
1,25,21,2,0
0,19,27,17,1
15,27,28,4,1
29,7,7,11,0
11,28,10,11,1
4,8,8,18,0
4,6,4,29,0
26,0,13,5,0
22,2,27,1,0
8,12,29,11,1
8,27,2,18,0
2,29,20,4,0
18,24,4,11,0
15,27,4,26,1
15,16,18,26,1
2,24,26,16,1
19,23,13,28,1
23,0,25,16,1
21,5,29,9,1
23,20,3,24,1
0,5,24,22,0
23,25,12,16,1
19,11,9,14,0
10,12,24,11,0
16,12,17,29,1
7,28,7,15,0
3,14,7,23,0
5,20,6,18,0
7,15,7,7,0
19,21,13,20,1
29,20,18,16,1
2,10,28,22,1
15,27,5,4,0
29,4,0,21,0
24,3,22,15,1
2,2,14,5,0
24,18,0,7,0
28,19,24,24,1
17,24,16,17,1
13,17,0,24,0
17,14,14,11,0
1,8,22,14,0
21,16,1,26,1
2,13,13,25,0
15,14,20,8,0
28,0,7,12,0
8,20,7,25,1
3,21,18,14,0
0,21,6,9,0
3,2,18,15,0
0,15,5,6,0
13,22,5,16,0
20,24,2,22,1
15,10,6,25,0
19,11,18,20,1
23,9,7,21,1
7,15,9,25,0
6,7,19,6,0
2,5,14,13,0
16,11,14,14,0
0,23,28,20,1
15,27,0,6,0
11,20,19,8,0
26,7,29,18,1
18,25,6,15,1
21,27,26,7,1
22,3,3,17,0
21,25,28,26,1
13,7,5,22,0
29,25,24,28,1
5,27,0,17,0
5,17,28,29,1
12,27,4,19,1
18,27,26,6,1
21,4,22,2,0
7,8,0,17,0
26,3,29,26,1
26,26,3,9,1
1,21,21,6,0
20,16,1,16,0
29,8,9,13,0
0,0,4,23,0
27,20,26,2,1
14,19,9,11,0
0,12,0,27,0
4,27,21,12,1
27,15,5,1,0
28,28,12,2,1
15,12,14,4,0
18,13,3,10,0
3,2,12,7,0
2,28,23,25,1
16,5,19,22,1
16,17,23,22,1
11,18,14,11,0
27,4,28,6,1
29,14,7,14,1
28,24,4,23,1
13,1,28,16,0
20,9,14,3,0
5,23,3,28,0
2,29,11,21,1
27,17,12,24,1
8,26,1,12,0
4,12,26,17,0
23,4,18,0,0
28,22,18,15,1
16,23,3,12,0
13,0,3,9,0
20,21,25,11,1
2,0,10,29,0
27,17,26,1,1
0,14,4,22,0
19,16,19,2,0
28,10,10,9,0
20,20,29,1,1
22,25,9,29,1
0,24,7,26,0
2,21,5,22,0
17,26,5,12,1
24,26,7,12,1
9,16,22,17,1
21,12,14,2,0
25,0,25,26,1
2,1,13,6,0
7,8,10,13,0
13,2,11,19,0
23,0,25,28,1
17,20,12,29,1
14,15,7,16,0
21,22,29,28,1
22,5,17,29,1
1,27,24,20,1
26,16,0,11,0
9,4,14,24,0
1,4,7,15,0
25,5,27,23,1
16,2,10,11,0
7,20,11,14,0
0,22,11,24,0
8,4,3,9,0
10,20,15,29,1
21,4,3,24,0
15,9,4,6,0
6,9,23,19,0
28,18,4,4,0
